#expiry,strike,right,open,high,low,close,volume,open_interest
,,,3234,3244,3230,3238,900000,
20200107,3150,C,27.8,29.8,26.8,28.8,100,500
20200107,3150,P,10.2,12.2,9.2,11.2,100,500
20200107,3200,C,22.8,24.8,21.8,23.8,100,500
20200107,3200,P,15.2,17.2,14.2,16.2,100,500
20200107,3250,C,17.8,19.8,16.8,18.8,100,500
20200107,3250,P,20.2,22.2,19.2,21.2,100,500
20200107,3300,C,12.8,14.8,11.8,13.8,100,500
20200107,3300,P,25.2,27.2,24.2,26.2,100,500
20200107,3350,C,7.8,9.8,6.8,8.8,100,500
20200107,3350,P,30.2,32.2,29.2,31.2,100,500
